creative_id,account_id,creative_name,status,image_hash,image_url,thumbnail_url,body,title,call_to_action_type,video_id,object_story_id
32217530624528084,922637869834351,Promo Code: LBF25 2025-11-10-83d4ee0a00f10e008c2c7c077013c170,ACTIVE,fc3f9be2e93f3accb29934506220c08f,https://scontent.fcai19-8.fna.fbcdn.net/v/t45.1600-4/574480406_1308221997772986_6572854113394667719_n.png?stp=dst-jpg_tt6&_nc_cat=111&ccb=1-7&_nc_sid=890911&_nc_eui2=AeGvBfs3PQpoSQ2AJ3l61ftA7VSYKUIZzM7tVJgpQhnMzoRy2Xav_Na0Mi4tPmTZihQWvmtJBPgqojFuDS2cGhTF&_nc_ohc=NLSFSp_n7k8Q7kNvwGVuI_n&_nc_oc=Admzr8xIdGFrvF4E2frn9exIUmXbTzUFSDoAHYlokWHGC4bYUnrVFLARftU_tZZe75I&_nc_zt=1&_nc_ht=scontent.fcai19-8.fna&edm=ALjApogEAAAA&_nc_gid=fPaEtGzR5uwRkn7WH3Tmjg&_nc_tpa=Q5bMBQGcdORnbjKH210bKQwVhYf7WXXlIS_lYH4lZPwbCSX45-yTk1qx6qXAOj_QW5fdyVczxDsE8_0TVA&oh=00_Afhr0KtH4ncV_OyJQs8g5OZd0TiIUpq63Rf8JRK-jhMxjw&oe=6926C67D,https://external.fcai19-8.fna.fbcdn.net/emg1/v/t13/9569388329886476105?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQLPDxqL4LnijxZdNPkFX-1Ed-Cj0xBplp5hdMbTCFoUirx4HlPi43AyGTkGF4umqxPYVFQjht9efHG3IhiCH5sO8R3Xsz6ZpX6z6-_hoozn2AVu5mwp3kJx1eSokjyeKEZRq_G-3xFJstpswUAIhdWe&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=fPaEtGzR5uwRkn7WH3Tmjg&_nc_eui2=AeE6ZnSQpRRo2i4JEirsbQEPg2kyTOkNp4yDaTJM6Q2njNJlcjovLvKPzJkQ8g3yLquocXzl6tJzhphX2inGOGIg&_nc_oc=Adn2hUHZIvKfeQcDSez7jk_qv_4jKOdXi1gX4TxXXn9KjYjhiLMQM_TVNZ8ZBRbnURk&ccb=13-1&oh=06_Q3-5AQsyEzOnkNuK2KfoktsaWMxu1aHsH8bK8cWG6RcYaMRH&oe=6922DCE5&_nc_sid=58080a,Up to 70% OFF with code LBF25,Promo Code: LBF25,SHOP_NOW,,
32164010683244873,922637869834351,{{product.name}} 2025-10-30-bd83733a6b338e2698a3a400a974d355,ACTIVE,,,https://scontent.fcai19-8.fna.fbcdn.net/v/t45.1600-4/570187298_4146664568924180_7529700366603838151_n.png?_nc_cat=104&ccb=1-7&_nc_eui2=AeFg5Qu2Uj1M-HNIpiG_Lk7GFy4EgTQHbq8XLgSBNAdur4hCPBP-ZLP5vqigU5CawZVSMkiM3DA53AR3IkZKMHvI&_nc_ohc=bAXUfV-QEo0Q7kNvwHdMVub&_nc_oc=AdkD9ep2lVayZ8X7GWE2j0pcTTBp7NZfsn8jTFDZ-WZ_GxWiSSvWRxC4RbpqPEo8UCA&_nc_zt=1&_nc_ht=scontent.fcai19-8.fna&edm=ALjApogEAAAA&_nc_gid=fPaEtGzR5uwRkn7WH3Tmjg&_nc_tpa=Q5bMBQGRF6ujgPeYcIZRJ8fUsoVP8D3VK3Q0gp8KsGkGG3p1ptflf9RtkGmBgGsoklTWRWi4VvWHdbCrFg&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=4c02d7&_nc_sid=58080a&oh=00_AfjUE9V_IENjoE5w6FZ0GGWwM5ZEqcESKGiK-gLv9a5U7g&oe=6926C56E,,,,,
31426390210308318,922637869834351,Lesh 2025-09-02-6de7efba4a7885a225c165fc8cd5763c,ACTIVE,,,https://external.fcai19-8.fna.fbcdn.net/emg1/v/t13/10904424820318023766?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQIysp29GiLuBiyh3okjn5vCyb77OX4uh1PaU4KuT8p3IMGUfNuhmSeGz-7jAkI9OmWP_-cdaO70D5bFTvy7-T2maez0IZnWvkPYpRyMnmIZ9toSDQBKkZaW9f_a4craznH8R8LYFq2Aq1X2VedcSeWy&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=fPaEtGzR5uwRkn7WH3Tmjg&_nc_eui2=AeHDTGdRsI4A5kVtm-Rr4QgodpokZWdDEjl2miRlZ0MSObKV5EOEzIGjwYalBAmNU772Nr9HYMJ_3sbjuY57VlCl&_nc_oc=AdmCVumR3LCgRAry2lUBYEEuUHToTeUHz5FlBhRtiUAO2DHhU6qjpq22TMZZW1JhYuc&ccb=13-1&oh=06_Q3-5ATa7yECnPLRCxQadvUhkqClmAGA6ZTuCNo6yg7Pfkw20&oe=6922BFCC&_nc_sid=58080a,"25% OFF at the LESH Outlet✨
Your first step with LESH just got lighter 🍃
Shop your favorites today before they’re gone!",Lesh,GET_OFFER_VIEW,,
31328372883473293,922637869834351,Discounted pieces NOW at our outlet 2025-09-02-bbda437f31f2ca1cea8c7b0424e8520c,ACTIVE,,,https://scontent.fcai19-8.fna.fbcdn.net/v/t15.5256-10/523369791_1244366704137437_4311954605375587267_n.jpg?_nc_cat=109&ccb=1-7&_nc_eui2=AeF_poTisR41bowv3i7Zyt8zQ4ealDhhfzNDh5qUOGF_M2p-4PwOtl7ududYP6Ol5xGKL9C_qhNV10siI4nqFrHk&_nc_ohc=daqMOm9pUdQQ7kNvwEzicb7&_nc_oc=Adnu2a4BCim-9rNlzUtS4_xl8U21YGNkw1p7xs0uy9AXjsCDrQQTsdUQTb_NJGx94mU&_nc_zt=23&_nc_ht=scontent.fcai19-8.fna&edm=ALjApogEAAAA&_nc_gid=fPaEtGzR5uwRkn7WH3Tmjg&_nc_tpa=Q5bMBQEYVKXPpHWO-XFq4iuZEm8S84dALejdFS01Ozv5EkVWN3wwSGCPftPiYw3TYpIf_BATLNqMevYkXQ&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=282d23&_nc_sid=58080a&oh=00_AfiZXvCnHr3Lfe-ioCVdW3-KkA45MxZQ15ZseWoXjNIOGQ&oe=6926A2A2,"Your first step with LESH just got lighter 🍃
Enjoy 25% OFF your order at our outlet.
Choose your favorite and shop now!",Discounted pieces NOW at our outlet,GET_OFFER,1470662470809728.0,
31215115848103001,922637869834351,Lesh 2025-09-02-c247aff1754a96b43e8f6ea8ae6cda8f,ACTIVE,,,https://external.fcai19-8.fna.fbcdn.net/emg1/v/t13/2731648368171743156?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQIUi53DagrZznqaZJBGllCiLgU_39pCc0DYbC59ge5nhn7-tolUzj1X9rTeIpXduhmWrZGFc4cv3PilIlpYuVuzv95FfEkZ32MB43GUb5DIsE3oTduAd4nc9rv1YM4slyH-jV5g7S9V1GyvqMikoCFu&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=fPaEtGzR5uwRkn7WH3Tmjg&_nc_eui2=AeE2ozhoc_GxA_vws-x8gLHTE2N1IfR-km8TY3Uh9H6Sb5DMRZdVadK7ycP-k7XVPhWwRrjicubkO8XqeirK18kN&_nc_oc=Adm8Pf8L9XDKDKl4RAuELOvybQWtjnaggNmKFqfH8FPPp4PV2DnGbwitqX0IR949ugY&ccb=13-1&oh=06_Q3-5ASRGZ_vueRp1IIF-AuqhKSsdmARrkcwfRpNLP3HFgVPU&oe=6922CED9&_nc_sid=58080a,"LESH’s Summer 2025 is live 🐞 
Statement shoes, power pieces, and attitude stitched into every thread. 
Don’t just shop. Claim your pair.",Lesh,GET_OFFER_VIEW,,
31163310173314848,922637869834351,Grab 15% off your order now 2025-09-02-f572c465295fc8844df94b0c3ceee021,ACTIVE,,,https://scontent.fcai19-8.fna.fbcdn.net/v/t15.5256-10/541602141_1659145918806921_8019693366875639397_n.jpg?_nc_cat=104&ccb=1-7&_nc_eui2=AeEIWVDkK30Mxy0aHnRdqafjHkE-D90ihzIeQT4P3SKHMpKjpTeafLiZi7hjSeA6rVqYftNfFjhg1KHeJ_3dq2N_&_nc_ohc=9dhdisGQTmwQ7kNvwGhZsC2&_nc_oc=AdlqP_4ElDlpmzKK5ONsgANMBjCkhooTBMYZua4YKBy86dBGWEckfO07j31uv-eKjCw&_nc_zt=23&_nc_ht=scontent.fcai19-8.fna&edm=ALjApogEAAAA&_nc_gid=fPaEtGzR5uwRkn7WH3Tmjg&_nc_tpa=Q5bMBQHmOPVydSxzxvxnrc3Y6F9RYt0CnPfju0ju1jeC-yYqelPm1iRS1EmVkeNUj4zB6l-xq3_daefTnQ&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=7965db&_nc_sid=58080a&oh=00_AfhfcenLmmai3Xf-kE0IVocBijApWbfiauborqkYpmMWOg&oe=6926BC78,"LESH’s Summer 2025 is live 🐞 
Statement shoes, power pieces, and attitude stitched into every thread. 
Don’t just shop. Claim your pair.",Grab 15% off your order now,GET_OFFER,1659145892140257.0,
31032753506372954,922637869834351,25% OFF LESH Outlet 2025-09-02-4b844e9dfdc06819ddd6c83adbe32216,ACTIVE,ba3b94ff13c8b2c19038046c6e7d5fb6,https://scontent.fcai19-8.fna.fbcdn.net/v/t45.1600-4/522292356_1440642610518316_5004840595723456834_n.png?stp=dst-jpg_tt6&_nc_cat=106&ccb=1-7&_nc_sid=890911&_nc_eui2=AeFatgw36iLEDoXzTd8A9tLJLmJYvpDsTMUuYli-kOxMxbCLcSJouadzPZuCBnPlDvLFZqPRwrq7PPD9b3RtV80U&_nc_ohc=BNRaz164E6gQ7kNvwFLbJau&_nc_oc=Adl_EKkyQr9wqBOMBOFd9fSWzvPjhPEuMwIWUFZmLbSRclNEuI8x1zHE70rxP81ZHfw&_nc_zt=1&_nc_ht=scontent.fcai19-8.fna&edm=ALjApogEAAAA&_nc_gid=fPaEtGzR5uwRkn7WH3Tmjg&_nc_tpa=Q5bMBQF0xDpEwTqEAFJCMt5iFPni7VkSk9UpyeTF2OxhTXTP0pTprOyeIEs3hfHIimYxhjanVo-P1XlXbA&oh=00_AfhJS_eF-E9XqjJn_tmtZp8cHVDJJGtoJIIGjq7wcP-9BQ&oe=6926CD16,https://external.fcai19-8.fna.fbcdn.net/emg1/v/t13/17526516507893658979?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQLBtIg3ARJDr8db_3tv3GZQrx74fAhNoaAIsdLG7LVJsK_fVn1ddGlOLcMvxdU8Gc3-xJ6opypkrfN8FhuyS0sR6bOZVlRvYkv-Q9oIezyIR8AjdBgy-fPJp174174A-32CfsRYY9pEn8tsq0bRRPXW&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=ALjApogEAAAA&_nc_gid=fPaEtGzR5uwRkn7WH3Tmjg&_nc_eui2=AeHkRBqJK8b_CsbYNWCbvXxrD_LY1DOKkVgP8tjUM4qRWHUC6Cr9hk_t_7AxijghDLA9yLc62zlciRmyEfrnvUl6&_nc_oc=Adlo6e2I8aA7kKASa65LxHZaaCo_mbb5qFS38UNjBpdtDBu1ZxEDfLVi7DWiGmIKAb0&ccb=13-1&oh=06_Q3-5AUktN03_k-k6GJUuFB1TKfHgUNAbmP_BJQx0MaEtQ-ws&oe=6922C205&_nc_sid=58080a,"25% OFF at the LESH Outlet✨
Your first step with LESH just got lighter🍃
Shop your favorites today before they’re gone!",25% OFF LESH Outlet,GET_OFFER_VIEW,,
30980556708255362,922637869834351,Get Yours Now 2025-08-18-d5683b2775ef8b63195d6f669bd78dd5,ACTIVE,,,https://scontent.fcai19-8.fna.fbcdn.net/v/t15.5256-10/514585957_2102791256878856_4949477294256960813_n.jpg?_nc_cat=109&ccb=1-7&_nc_eui2=AeEyXf3N5Q3tCW8uJ2vaflj5uqYNH55WP_W6pg0fnlY_9X8iUKyp16GFAGHBPCItXIDPs0g7sn2-T-HtmxD_fXzs&_nc_ohc=FfqpsMk_-iYQ7kNvwE6k6oD&_nc_oc=AdkuhVvLrM_IonjDeO6CNYU_ASna37hWDSgNIVTHal5NsYO5EvkZvxk5bOBw6vo-yzs&_nc_zt=23&_nc_ht=scontent.fcai19-8.fna&edm=ALjApogEAAAA&_nc_gid=fPaEtGzR5uwRkn7WH3Tmjg&_nc_tpa=Q5bMBQF7Y7Z37_kOtkhaRbWClprPPTo4whUcuGnLf79l0OCVSjLEsaovOPRnBrHZTk61p3vstl8do_s8RA&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=282d23&_nc_sid=58080a&oh=00_AfgellyUOi8l0WbNJdMkhK-pk3szNmlt7wzxgJm7-t6SjA&oe=6926CC9C,"LESH’s Summer 2025 is live 🐞
Statement shoes, power pieces, and attitude stitched into every thread.
Don’t just shop. Claim your pair.",Get Yours Now,MESSAGE_PAGE,1014184790661695.0,
30401909339423806,922637869834351,Bold. Limited. Selling fast. 2025-06-26-6d8fb9da5bc57f43ca265398706c459e,ACTIVE,,,https://scontent.fcai19-8.fna.fbcdn.net/v/t15.5256-10/513505599_1114972543816480_8705782757254930335_n.jpg?_nc_cat=110&ccb=1-7&_nc_eui2=AeGJsRKAvyuME0q3KulJ9fJ4BhbhR6HmrqEGFuFHoeauoU3-VeqIzoJAODGYIwQcTQ6-ShxU1aSveh-g2ygBi5Lq&_nc_ohc=T5NDU6nd4BkQ7kNvwHsiCOT&_nc_oc=Admhqmaca9mS3yUE037k_UywtCyZFRMdDslpoxNKD_SyKUFbL6Y19-ZV60on0GTqqhw&_nc_zt=23&_nc_ht=scontent.fcai19-8.fna&edm=ALjApogEAAAA&_nc_gid=fPaEtGzR5uwRkn7WH3Tmjg&_nc_tpa=Q5bMBQFNbYx1zpoannfl5Z1SxF1y9F4LpIbFl9x7d2MBQxR1zYavH6aTs2JVWGvl52UZRcVvVf1B1GDu8w&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=282d23&_nc_sid=58080a&oh=00_Afg2EKL22ab_lJmRf7Mr2iosaFh8_CWrAu2f-VtB465W-Q&oe=6926B1A5,"Missed it once?
Our bold bestsellers don’t stay in stock — shop now before your size disappears.",Bold. Limited. Selling fast.,SHOP_NOW,1074741941387655.0,
30386228741024801,922637869834351,Get Yours Now 2025-07-21-9c7c9b9d29794ad128cd77d79803050d,ACTIVE,,,https://scontent.fcai19-8.fna.fbcdn.net/v/t15.13418-10/514446416_1158598152702277_2388821569394678937_n.jpg?_nc_cat=109&ccb=1-7&_nc_eui2=AeFPj5W_bSDcjd-e3LYo9ihjt31issPzV1S3fWKyw_NXVIRhmjhhIWplPOi4VZdgUcyLIq0Wa3Z6CGs9lW4erXgq&_nc_ohc=hGBROuzPyX0Q7kNvwG6D_7n&_nc_oc=AdlSyq2kwkvqWur0iJRhjt4Dkio1EoPJK8S67xsFWPpIO-EJAgkRcmSozlFrg4guu6w&_nc_zt=23&_nc_ht=scontent.fcai19-8.fna&edm=ALjApogEAAAA&_nc_gid=fPaEtGzR5uwRkn7WH3Tmjg&_nc_tpa=Q5bMBQEZ-DpMrqvm8RsRdTZrzzD_295KsKWBboEeb0ZYhIkuolVLDueduqlg55X4L00xwJz51TwC92oqbg&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=ace027&_nc_sid=58080a&oh=00_AfhAi7Ilio-m_58zW7tSQ0KUDTKpI5jQ6tI9j15Rg9RyIQ&oe=6926B2A2,"Back in stock. Not for long 👀
Get the Royal Studs before they’re gone!",Get Yours Now,ORDER_NOW,1267386738343589.0,
