date_start,date_stop,account_id,account_name,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,objective,optimization_goal,spend,social_spend,reach,impressions,clicks,unique_clicks,unique_inline_link_clicks,results_indicator,results_value,unique_outbound_clicks_outbound_click,outbound_clicks_outbound_click,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view,video_p95_watched_actions_video_view,actions_web_in_store_purchase,actions_omni_purchase,actions_link_click,actions_omni_add_to_cart,actions_omni_initiated_checkout,actions_page_engagement,actions_purchase,actions_landing_page_view,actions_add_to_cart,actions_omni_landing_page_view,actions_onsite_web_app_add_to_cart,actions_onsite_web_view_content,actions_onsite_web_add_to_cart,actions_onsite_conversion_post_unlike,actions_post_engagement,actions_offsite_conversion_fb_pixel_add_payment_info,actions_onsite_web_app_purchase,actions_post_interaction_gross,actions_view_content,actions_web_app_in_store_purchase,actions_onsite_conversion_post_save,actions_onsite_conversion_post_net_like,actions_onsite_web_initiate_checkout,actions_onsite_conversion_post_net_save,actions_onsite_web_app_view_content,actions_offsite_content_view_add_meta_leads,actions_onsite_web_purchase,actions_add_payment_info,actions_video_view,actions_omni_view_content,actions_offsite_conversion_fb_pixel_view_content,actions_offsite_conversion_fb_pixel_add_to_cart,actions_post_reaction,actions_offsite_conversion_fb_pixel_initiate_checkout,actions_offsite_conversion_fb_pixel_purchase,actions_initiate_checkout,actions_like,actions_post,actions_onsite_conversion_messaging_conversation_started_7d,actions_onsite_conversion_total_messaging_connection,actions_onsite_conversion_messaging_user_depth_2_message_send,actions_onsite_conversion_messaging_first_reply,actions_comment,action_values_onsite_web_app_purchase,action_values_onsite_web_app_add_to_cart,action_values_onsite_web_initiate_checkout,action_values_add_payment_info,action_values_omni_initiated_checkout,action_values_offsite_conversion_fb_pixel_view_content,action_values_web_app_in_store_purchase,action_values_omni_view_content,action_values_add_to_cart,action_values_onsite_web_purchase,action_values_offsite_conversion_fb_pixel_add_to_cart,action_values_purchase,action_values_view_content,action_values_offsite_conversion_fb_pixel_initiate_checkout,action_values_offsite_conversion_fb_pixel_add_payment_info,action_values_onsite_web_view_content,action_values_onsite_web_app_view_content,action_values_offsite_conversion_fb_pixel_purchase,action_values_initiate_checkout,action_values_omni_add_to_cart,action_values_omni_purchase,action_values_web_in_store_purchase,action_values_onsite_web_add_to_cart,video_play_actions_video_view
2026-01-06,2026-01-06,1879278766016206,Zyra,120240435460110279,Sales_Launch with 50% off  _Women Footwear_6 Jan 2026,120240435460120279,Broad_Reels,120240435460100279,Clogs_Studio Reel _Launch with 50% OFF,OUTCOME_SALES,OFFSITE_CONVERSIONS,109.36,0.0,242,266,17,14,10.0,actions:offsite_conversion.fb_pixel_purchase,1,9.0,9.0,33.0,2.0,33.0,95.0,53.0,38.0,33.0,1.0,1.0,10.0,1.0,1.0,54,1.0,9.0,1.0,9.0,1.0,5.0,1.0,1.0,54,1.0,1.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,1.0,1.0,42.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,800.0,800.0,880.0,800.0,4100.0,0.09,4100.0,800.0,880.0,800.0,880.0,4100.0,800.0,880.0,4100.0,4100.0,880.0,800.0,800.0,880.0,880.0,800.0,234.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240435460110279,Sales_Launch with 50% off  _Women Footwear_6 Jan 2026,120240435460120279,Broad_Reels,120240437193790279,Clean Girl Loafers_Studio Reel_Launch with 50% OFF,OUTCOME_SALES,OFFSITE_CONVERSIONS,25.31,0.32,80,81,2,2,1.0,actions:offsite_conversion.fb_pixel_purchase,0,1.0,1.0,1.0,3.0,1.0,13.0,8.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,750.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,750.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240435460110279,Sales_Launch with 50% off  _Women Footwear_6 Jan 2026,120240435460120279,Broad_Reels,120240437193800279,Cosmic Cutie Loafers_Studio Reel_Launch with 50% OFF - Copy,OUTCOME_SALES,OFFSITE_CONVERSIONS,0.58,0.0,1,1,0,0,0.0,actions:offsite_conversion.fb_pixel_purchase,0,0.0,0.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240435460110279,Sales_Launch with 50% off  _Women Footwear_6 Jan 2026,120240435460120279,Broad_Reels,120240437193810279,Pretty Power Loafers_Studio Reel_Launch with 50% OFF,OUTCOME_SALES,OFFSITE_CONVERSIONS,16.39,0.0,51,103,5,5,1.0,actions:offsite_conversion.fb_pixel_purchase,0,1.0,1.0,2.0,1.0,2.0,12.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,850.0,0.0,0.0,0.0,0.0,850.0,0.0,0.0,850.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240435460110279,Sales_Launch with 50% off  _Women Footwear_6 Jan 2026,120240435460120279,Broad_Reels,120240437193820279,Bold Babe Loafers_Studio Reel_Launch with 50% OFF,OUTCOME_SALES,OFFSITE_CONVERSIONS,0.22,0.0,1,1,0,0,0.0,actions:offsite_conversion.fb_pixel_purchase,0,0.0,0.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240435460110279,Sales_Launch with 50% off  _Women Footwear_6 Jan 2026,120240435460120279,Broad_Reels,120240437193830279,Pretty Point Mules_Studio Reel_Launch with 50% OFF,OUTCOME_SALES,OFFSITE_CONVERSIONS,1.47,0.0,16,16,1,1,0.0,actions:offsite_conversion.fb_pixel_purchase,0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240435460110279,Sales_Launch with 50% off  _Women Footwear_6 Jan 2026,120240437311840279,Broad_Designs,120240437311890279,Collation All_Design_Launch with 50% OFF,OUTCOME_SALES,OFFSITE_CONVERSIONS,154.7,0.15,507,563,50,38,33.0,actions:offsite_conversion.fb_pixel_purchase,0,33.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,9.0,2.0,46,0.0,33.0,9.0,33.0,9.0,28.0,9.0,0.0,45,0.0,0.0,5.0,28.0,0.0,0.0,1.0,2.0,0.0,28.0,28.0,0.0,0.0,0.0,28.0,28.0,9.0,1.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7600.0,1600.0,0.0,1600.0,22550.0,0.0,22550.0,7600.0,0.0,7600.0,0.0,22550.0,1600.0,0.0,22550.0,22550.0,0.0,1600.0,7600.0,0.0,0.0,7600.0,0.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240435460110279,Sales_Launch with 50% off  _Women Footwear_6 Jan 2026,120240437311840279,Broad_Designs,120240437339090279,Clogs_Design Woman - Clogs_Launch with 50% OFF,OUTCOME_SALES,OFFSITE_CONVERSIONS,6.79,0.0,8,15,2,2,1.0,actions:offsite_conversion.fb_pixel_purchase,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,800.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240435460110279,Sales_Launch with 50% off  _Women Footwear_6 Jan 2026,120240437311840279,Broad_Designs,120240437345100279,It-Girl Loafers_Design_Launch with 50% OFF,OUTCOME_SALES,OFFSITE_CONVERSIONS,135.36,0.0,315,351,22,18,8.0,actions:offsite_conversion.fb_pixel_purchase,0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,11,0.0,10.0,2.0,10.0,2.0,14.0,2.0,0.0,11,0.0,0.0,2.0,14.0,0.0,1.0,0.0,0.0,1.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,11850.0,0.0,11850.0,1700.0,0.0,1700.0,0.0,11850.0,0.0,0.0,11850.0,11850.0,0.0,0.0,1700.0,0.0,0.0,1700.0,0.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240437457050279,Sales_Catalog Launch with 50% off_Women Footwear_6 Jan 2026,120240437457040279,Broad_Catalog,120240437457030279,Collection All _Catalog - Carousel_Launch with 50% OFF,OUTCOME_SALES,OFFSITE_CONVERSIONS,350.35,0.0,1016,1248,59,40,33.0,actions:offsite_conversion.fb_pixel_purchase,1,32.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,2.0,1.0,52,1.0,38.0,2.0,38.0,2.0,55.0,2.0,0.0,51,1.0,1.0,4.0,55.0,1.0,1.0,2.0,1.0,1.0,55.0,55.0,1.0,1.0,0.0,55.0,55.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,930.0,1600.0,850.0,930.0,850.0,45800.0,0.09,45800.0,1600.0,930.0,1600.0,930.0,45800.0,850.0,930.0,45800.0,45800.0,930.0,850.0,1600.0,930.0,930.0,1600.0,0.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240437529120279,Traffic_IG - Profile Visit _*_6 Jan 2026,120240437529140279,Broad_Reels,120240437761860279,Pretty Point Mules_Studio Reel_IG - Follow,LINK_CLICKS,PROFILE_VISIT,2.59,0.0,83,87,3,3,4.0,profile_visit_view,5,0.0,0.0,3.0,2.0,3.0,20.0,9.0,6.0,3.0,0.0,0.0,4.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240437529120279,Traffic_IG - Profile Visit _*_6 Jan 2026,120240437529140279,Broad_Reels,120240437766490279,Pretty Power Loafers_Studio Reel_IG - Follow,LINK_CLICKS,PROFILE_VISIT,12.85,0.0,431,454,16,16,16.0,profile_visit_view,16,0.0,0.0,24.0,1.0,24.0,91.0,48.0,27.0,25.0,0.0,0.0,17.0,0.0,0.0,69,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,69,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,50.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1716.67,0.0,1716.67,0.0,0.0,0.0,0.0,1716.67,0.0,0.0,1716.67,1716.67,0.0,0.0,0.0,0.0,0.0,0.0,413.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240437529120279,Traffic_IG - Profile Visit _*_6 Jan 2026,120240437529140279,Broad_Reels,120240437766930279,Cosmic Cutie Loafers.mov_Studio Reel_IG - Follow,LINK_CLICKS,PROFILE_VISIT,12.04,0.0,261,287,13,13,14.0,profile_visit_view,15,0.0,0.0,1.0,1.0,1.0,35.0,13.0,5.0,1.0,0.0,0.0,14.0,0.0,0.0,54,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,54,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,800.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240437529120279,Traffic_IG - Profile Visit _*_6 Jan 2026,120240437529140279,Broad_Reels,120240437767370279,Bold Babe Loafers_Studio Reel_IG - Follow,LINK_CLICKS,PROFILE_VISIT,1.62,0.0,37,41,2,2,2.0,profile_visit_view,2,0.0,0.0,5.0,2.0,5.0,13.0,10.0,9.0,5.0,0.0,0.0,2.0,0.0,0.0,13,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240437529120279,Traffic_IG - Profile Visit _*_6 Jan 2026,120240437529140279,Broad_Reels,120240437767930279,Clean Girl Loafer _Studio Reel_IG - Follow,LINK_CLICKS,PROFILE_VISIT,7.84,0.0,176,189,6,6,6.0,profile_visit_view,6,0.0,0.0,5.0,2.0,5.0,26.0,14.0,8.0,5.0,0.0,0.0,6.0,0.0,0.0,39,0.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,39,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,32.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4183.33,0.0,4183.33,0.0,0.0,0.0,0.0,4183.33,0.0,0.0,4183.33,4183.33,0.0,0.0,0.0,0.0,0.0,0.0,172.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240437824100279,Engagement_Page Like __6 Jan 2026,120240437824080279,Broad _Reels,120240437824090279,Bold Babe Loafers._Studio Reel_Page like,OUTCOME_ENGAGEMENT,PAGE_LIKES,3.49,0.0,58,70,10,10,0.0,actions:like,10,0.0,0.0,10.0,3.0,10.0,28.0,17.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240437824100279,Engagement_Page Like __6 Jan 2026,120240437824080279,Broad _Reels,120240437836130279,Clean Girl Loafers_Studio Reel _Page like,OUTCOME_ENGAGEMENT,PAGE_LIKES,16.57,0.0,285,310,36,36,0.0,actions:like,30,0.0,0.0,11.0,3.0,11.0,60.0,32.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,10.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240437824100279,Engagement_Page Like __6 Jan 2026,120240437824080279,Broad _Reels,120240437836140279,Pretty Power Loafers_Studio Reel_Page like,OUTCOME_ENGAGEMENT,PAGE_LIKES,11.64,0.0,211,229,16,16,0.0,actions:like,13,0.0,0.0,25.0,3.0,23.0,96.0,48.0,36.0,25.0,0.0,0.0,0.0,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240437824100279,Engagement_Page Like __6 Jan 2026,120240437824080279,Broad _Reels,120240437836150279,Cosmic Cutie Loafers_Studio Reel_Page like,OUTCOME_ENGAGEMENT,PAGE_LIKES,1.63,0.0,26,26,1,1,0.0,actions:like,1,0.0,0.0,0.0,3.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2026-01-06,2026-01-06,1879278766016206,Zyra,120240437824100279,Engagement_Page Like __6 Jan 2026,120240437824080279,Broad _Reels,120240437836160279,Pretty Point Mules_Studio Reel_Page Like,OUTCOME_ENGAGEMENT,PAGE_LIKES,4.64,0.0,102,115,9,9,0.0,actions:like,9,0.0,0.0,9.0,3.0,8.0,44.0,24.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
